Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
5,1,44,1,2,3,23,26,3.391608392,4,8,No_Sex,2,4,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
5,1,44,1,2,3,23,26,3.391608392,4,9,No_Sex,2,4,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
5,1,44,1,2,3,23,26,3.391608392,4,10,Sex,1,4,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
6,1,21,1,3,4,27,31,2.877622378,6,1,Sex,5,4,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,2,Sex,1,3,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,3,No_Sex,1,4,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,4,Sex,2,2,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,5,No_Sex,2,3,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,6,No_Sex,4,4,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,7,Sex,1,4,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,8,No_Sex,4,4,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,9,No_Sex,3,2,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
6,1,21,1,3,4,27,31,2.877622378,6,10,Sex,1,4,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
7,2,19,1,3,3,34,32,3.255244755,4,1,Sex,5,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
