,Participants,Timing...First.Click.55,Timing...First.Click.56,Timing...First.Click.57,Timing...First.Click.58,Timing...First.Click.59,Timing...First.Click.60,Timing...First.Click.61,Timing...First.Click.62,Timing...First.Click.63,Timing...First.Click.64,Timing...First.Click.65,Timing...First.Click.66,Timing...First.Click.67,Timing...First.Click.68,Timing...First.Click.69,Timing...First.Click.70,Timing...First.Click.71,Timing...First.Click.72,Timing...First.Click.73,Timing...First.Click.74,Timing...First.Click.75,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
25,25,4.567,30.264,2.706,23.275,2.377,24.328,2.685,14.415,1.931,14.386,1.077,21.88,0.501,46.485,1.286,42.561,1.302,10.397,2.052,18.393,0.625,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
26,26,10.073,33.201,2.464,18.934,2.655,32.685,2.46,15.79,1.143,16.323,1.295,14.041,1.614,25.328,2.892,26.434,2.02,16.94,0.475,22.724,0.482,22.24,1.75,23.1954,21.2846,1.9272,1.5728
27,27,3.802,33.363,3.853,41.968,3.396,20.025,2.819,32.419,1.085,17.757,1.75,15.54,4.121,26.614,1.019,20.556,0.479,15.939,1.017,24.224,2.592,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
28,28,6.361,30.321,4.998,2.875,1.604,2.703,1.152,17.661,1.355,15.712,1.169,13.572,0.675,2.688,1.492,16.219,0.68,18.337,0.873,2.307,0.876,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
29,29,4.361,34.247,4.6,16.299,1.301,32.494,1.785,15.383,2.396,13.19,0.998,14.093,0.829,20.046,0.89,82.719,0.852,10.394,0.924,16.9,0.8,25.5765,1.5375,20.575,30.578,1.9974,1.0776
30,30,8.162,38.31,4.187,45.971,3.756,40.693,3.139,20.682,2.071,35.956,1.434,23.133,1.777,25.274,4.053,25.515,1.75,27.625,1.687,31.655,2.13,31.4814,2.5984,32.3784,30.5844,3.2394,1.9574
31,31,4.348,5.847,1.913,17.343,0.53,1.219,0.385,84.601,0.712,5.29,0.787,1.28,0.523,0.694,0.528,4.463,1.017,0.507,0.987,1.102,0.791,12.2346,0.8173,21.9174,2.5518,0.8948,0.7398
32,32,6.352,30.707,2.293,15.759,1.218,22.557,1.367,9.883,1.2,27.861,0.853,19.746,0.627,23.204,1.478,92.656,1.349,31.04,0.596,13.986,1.675,28.7399,1.2656,18.7078,38.772,1.5728,0.9584
33,33,3.79,22.711,2.436,21.615,1.828,26.523,3.945,12.778,1.963,51.198,0.626,14.843,1.846,20.217,1.82,38.93,1.11,14.807,1.667,20.091,0.944,24.3713,1.8185,19.4824,29.2602,1.7982,1.8388
34,34,3.994,28.261,3.054,19.307,3.331,24.277,1.18,22.391,2.309,15.582,1.018,21.431,2.247,28.501,1.714,17.158,0.808,12.229,0.936,18.386,2.259,20.7523,1.8856,23.3692,18.1354,2.5334,1.2378
35,35,6.316,44.145,4.63,22.806,1.56,33.971,2.586,24.239,1.73,47.773,1.043,26.898,0.954,35.709,2.455,31.373,1.398,13.238,2.203,31.612,1.426,31.1764,1.9985,31.7022,30.6506,2.3602,1.6368
36,36,4.278,5.36,2.866,5.738,1.775,37.843,0.877,9.827,1.934,16.306,1.83,18.643,0.594,12.043,2.277,38.014,1.557,10.551,1.036,13.836,1.562,16.8161,1.6308,9.3608,24.2714,2.0828,1.1788
37,37,3.1,22.24,2.6,20.082,2.298,27.282,0.8,14.169,4.217,15.955,0.846,14.779,2.187,21.545,2.731,20.027,2.943,229.458,3.21,13.466,1.135,39.9003,2.2967,18.3004,61.5002,2.5962,1.9972
38,38,3.664,28.465,2.378,24.429,0.956,17.064,2.399,19.809,0.819,35.088,0.597,21.06,0.664,19.855,0.821,18.071,1.217,10.661,0.56,15.818,0.806,21.032,1.1217,21.6752,20.3888,1.156,1.0874
39,39,6.433,33.931,3.252,35.016,4.361,32.148,0.988,18.593,1.107,37.201,1.045,34.362,1.116,14.252,1.255,42.897,1.087,27.486,1.822,36.845,0.768,31.2731,1.6801,27.7274,34.8188,2.1486,1.2116
40,40,7.623,34.302,3.338,29.177,3.871,35.132,3.085,18.661,2.051,29.825,3.664,30.008,1.248,26.169,1.625,59.724,1.733,14.938,1.023,25.374,2.673,30.331,2.4311,26.7366,33.9254,2.7116,2.1506
41,41,3.454,13.346,1.481,2.147,1.825,1.896,2.087,11.842,2.416,15.653,1.116,80.1,1.38,4.143,1.184,10.792,1.641,7.116,4.045,30.8,1.841,17.7835,1.9016,12.4556,23.1114,1.7494,2.0538
42,42,5.066,35.403,5.259,24.307,1.495,25.023,1.938,18.945,1.825,31.401,2.669,13.244,1.338,25.947,0.858,23.116,0.499,19.759,0.67,19.568,0.7,23.6713,1.7251,24.834,22.5086,2.0274,1.4228
43,43,7.202,50.219,5.873,30.364,2.419,46.182,1.384,22.301,1.053,26.105,0.74,19.931,0.533,41.367,2.09,26.88,1.068,28.852,1.196,35.594,0.965,32.7795,1.7321,35.969,29.59,2.48,0.9842
44,44,1.857,6.041,1.216,1.493,1.174,2.192,1.05,27.587,1.157,11.307,1.07,33.441,0.916,21.553,1.101,2.754,1.581,1.137,2.775,12.359,1.737,11.9864,1.3777,13.8066,10.1662,1.277,1.4784
45,45,4.5,31.3,2.3,27.6,4.4,26.4,2.5,16.2,6.1,16.1,2.4,19.7,1.9,20,1.6,22,1.2,26.2,2.9,183.5,1.8,38.9,2.71,55.72,22.08,3.24,2.18
46,46,6.158,51.431,4.551,25.32,3.128,31.097,26.254,15.073,1.436,20.953,1.48,17.939,0.818,35.051,2.218,18.939,1.318,37.985,1.586,23.572,1.291,27.736,4.408,30.0894,25.3826,2.5248,6.2912
47,47,7.568,63.52,2.933,37.502,2.265,43.319,3.002,32.543,2.607,27.766,1.152,30.055,1.757,36.601,2.501,37.11,1.081,29.111,1.545,31.939,0.702,36.9466,1.9545,40.421,33.4722,2.2016,1.7074
48,48,5.117,42.74,3.221,38.831,2.216,33.325,2.302,20.004,1.874,20.658,1.133,23.283,0.679,30.908,2.119,26.648,1.498,23.495,0.89,28.515,1.246,28.8407,1.7178,32.1996,25.4818,2.1352,1.3004
49,49,10.324,59.944,6.475,21.374,2.496,7.318,0.74,1.352,0.766,4.595,2.876,8.438,2.404,2.116,1.482,1.248,1.098,1.192,2.065,0.886,1.942,10.8463,2.2344,17.1344,4.5582,2.6322,1.8366
50,50,5.077,36.522,9.308,5.652,1.349,3.657,1.318,25.012,1.886,19.697,1.696,13.951,0.887,50.868,0.75,1.848,1.631,25.363,1.331,29.229,0.646,21.1799,2.0802,29.4566,12.9032,2.7878,1.3726
51,51,6.691,8.384,3.783,39.347,0.67,63.272,1.568,26.064,1.926,30.559,1.675,17.956,1.244,13.448,1.064,46.417,0.489,31.992,0.409,24.185,0.535,30.1624,1.3363,22.2856,38.0392,1.5956,1.077
