"","X","Contact","Age","Gender","Ethnicity","Ethnic_Origin","Education","DOSPERT_Likelihood_z","DOSPERT_Perception_z","DOSPERT_Benefit_z","UMS_Intimacy_Questions_z","UMS_Affiliation_Questions_z","UMS_Questions_z","dominance_z","prestige_z","leadership_z","PNI_z","DOSPERT_Ethical_Likelihood_z","DOSPERT_Financial_Likelihood_z","DOSPERT_HS_Likelihood_z","DOSPERT_Recreation_Likelihood_z","DOSPERT_Social_Likelihood_z","DOSPERT_Ethical_Perception_z","DOSPERT_Financial_Perception_z","DOSPERT_HS_Perception_z","DOSPERT_Recreation_Perception_z","DOSPERT_Social_Perception_z","DOSPERT_Ethical_Benefit_z","DOSPERT_Financial_Benefit_z","DOSPERT_Recreation_Benefit_z","DOSPERT_Social_Benefit_z","DOSPERT_Ethical_Preference_z","DOSPERT_Financial_Preference_z","DOSPERT_Social_Preference_z","DOSPERT_HS_Preference_z","DOSPERT_Recreation_Preference_z","DOSPERT_General_Preference_z","DOSPERT_General_Expected_Benefits_z","DOSPERT_General_Perceived_Risk_z"
"146",150,5393164,23,2,1,3,4,0.947440103980481,-0.688691487195779,0.194507691959945,0.22766313692292,0.431364848501677,0.387878407867138,-0.294241832810748,0.172934591942858,-0.142439491376902,0.34630666103623,0.436450001161754,0.447362234187935,-0.0646970822946099,1.79206861809941,1.12395553079553,-1.08813159169841,-0.366478028555092,-0.480277255203507,-0.157690555311719,-0.823556588683343,-0.249841788824994,0.415060610287847,1.49481111744586,0.224168155744997,0.307647934426196,0.488916026020858,0.461350463837364,-0.790112953152763,1.11577399772961,0.432652821653264,0.194507691959949,0.688691487195773
"147",151,5419841,28,1,4,7,4,1.32776989277666,-1.0809088825882,-0.506428014961435,1.17732537942443,0.431364848501677,0.908673557670664,2.39192080073819,2.26080344588712,1.39590701549364,1.84986924965584,2.19111193476637,0.674097018409466,0.181649500288712,0.237746274741599,1.91733590547473,0.128336724742348,-1.68579893135342,-2.60293119561186,-2.16773754791174,1.66808660492229,-0.999367155299976,1.8429332117028,-0.771570117343013,-1.55718146984066,-0.848997098058203,2.19196356875461,-1.92914615575984,0.459713818890784,0.558392872228058,0.00749962763343625,-0.506428014961431,1.08090888258819
"148",152,5457743,31,1,4,7,5,-0.139216435437178,-0.0023110452590463,-0.56483932387155,-0.152201760077683,-0.422737551531643,-0.341234801857799,-0.831474359520536,1.00808213352056,1.01132038877601,-0.358488302379213,-0.221548223939977,-0.459576902698186,-0.0646970822946099,0.237746274741599,-0.0661150312232662,0.128336724742348,0.952842874243239,-0.268011861162671,-0.358695254571722,-0.408282723082404,-0.499683577649988,-1.0128119911271,-0.771570117343013,-0.221169250651418,-0.454279376354166,-1.21413151671289,-0.0709189595989477,0.244936511950376,-0.353971336473118,-0.466397872615022,-0.564839323871547,0.0023110452590406
"149",153,5482613,32,1,4,7,3,-1.60620276365102,1.90974875727899,-1.1489524129727,-0.532066657078285,-0.593558031538307,-0.653711891739915,-0.652396850617273,0.381721477337285,0.434440448699552,-0.781365280428478,-2.19554289924517,-0.459576902698186,-1.0500834126279,-1.76066816671844,-1.05784049957226,2.15578391881028,1.17272969137629,1.43011129116401,1.85235643728831,1.46044967212182,-0.749525366474982,-1.0128119911271,-1.02339025454178,-0.88917536024604,-1.59258565375342,-1.29333636284995,-1.26145148353136,-1.51340746027013,-1.6436519399045,-1.70407639560673,-1.1489524129727,-1.909748757279
"150",154,5492897,23,2,1,8,3,-1.28020580182572,1.61558571073468,0.36974161869029,0.22766313692292,0.431364848501677,0.387878407867138,1.49653325622188,0.381721477337285,0.242147135340734,0.816169969979858,-1.75687741584401,-0.459576902698186,-1.29642999521122,0.015700225690483,-1.65287578058166,1.34480504118311,1.17272969137629,1.85464207924568,0.0433141439482832,2.49863433612417,0.249841788824994,0.653039377190339,0.739350705849568,0.00149945254678932,-0.426771243726453,0.139118514046702,-0.785105219825651,-0.781807155803268,0.490693818372971,-0.331546954853819,0.369741618690294,-1.61558571073468
"151",155,5493163,23,1,1,3,3,0.241113353359003,-1.37507192913251,-0.21437147041086,1.36725782792473,0.431364848501677,1.01283258763137,0.601145711705565,1.00808213352056,-0.33473280473572,1.09808795534603,1.09444822626348,0.447362234187935,0.427996082872034,-0.650437921462865,-0.264460124893066,-1.08813159169841,-1.46591211422037,-1.54160422540768,-1.36371875087173,-0.408282723082404,0,0.177081843385356,-0.771570117343013,-0.221169250651418,0.505006795278214,0.680303845720903,-0.0709189595989477,0.504049745738719,0.152897668360868,0.365192466625676,-0.214371470410857,1.37507192913251
"152",156,5507599,26,2,4,7,4,0.784441623067832,1.17434114091821,0.83703208997121,1.93705517342563,1.79792868855499,2.15858191719913,-0.294241832810748,-0.0358522934515685,1.39590701549364,-0.734378949534115,1.75244645136521,0.447362234187935,-0.0646970822946099,0.681838372843831,0.330575156116332,0.128336724742348,1.17272969137629,1.43011129116401,1.6513517380283,0.629901940919943,0.249841788824994,-0.060896923517136,1.2429909802471,1.33751167173603,0.13779720620189,-0.474790718909005,1.00776724487226,0.0481742697591885,0.0288409962318199,0.229155079866937,0.837032089971214,-1.17434114091821
"153",157,5514341,27,2,1,3,4,-0.465213397262476,-0.0513382196830986,-0.740073250601896,0.797460482423823,-0.935198991551635,-0.132916741936388,-0.831474359520536,-1.28857360581813,-0.33473280473572,-0.217529309696124,-0.879546449041707,-0.913046471141247,-0.0646970822946099,-0.428391872411749,0.330575156116332,0.331081444149141,-0.806251662821203,0.156518926919,0.646328241728291,-0.615919655882874,-0.249841788824994,-1.72674829183458,-0.519749980144249,-0.443837953849625,-0.351015257156871,-1.19440198057215,-0.206344208391122,-0.138878705032275,-0.686271548510491,-0.592030350564691,-0.740073250601892,0.0513382196830934
"154",158,5515288,22,2,1,3,4,-0.791210359087774,0.046716129165006,-0.21437147041086,0.22766313692292,-0.251917071524979,-0.028757711975683,0.24299069389904,1.00808213352056,-1.68078599824745,1.28603327892349,-1.53754467414344,-1.59325082380584,-0.803736830044576,0.015700225690483,0.528920249786132,0.533826163555935,0.293182422844073,-0.0557464671218357,-0.157690555311719,-0.408282723082404,-0.249841788824994,-0.774833224224611,-0.0161097057467223,0.00149945254678932,-0.445109998811595,-0.771880567316488,0.129861020656218,0.164570455604002,0.0683612409499263,-0.195788737270972,-0.214371470410857,-0.0467161291650113
"155",159,5518151,30,1,1,3,4,-0.410880570291593,-0.639664312771727,-0.915307177332241,-0.532066657078285,-1.1060194715583,-0.966188981622031,-0.652396850617273,-1.28857360581813,-0.33473280473572,-1.62711923652701,-0.879546449041707,-0.00610733425512557,0.181649500288712,-0.428391872411749,-0.462805218562865,-0.682642152884827,-1.24602529708731,-0.268011861162671,-0.760704653091727,0.214628075319004,-0.999367155299976,-0.536854457322119,-0.519749980144249,-1.55718146984066,-0.472618131439307,-0.0128102333718598,-1.47166303551891,0.0218534076604739,0.0233450582570904,-0.504876854622527,-0.915307177332237,0.63966431277172
